Statistical profiling result from isolate-0x105801400-v8.log, (1072 ticks, 104 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.1%    0.1%  t v8::internal::compiler::ScheduleEarlyNodeVisitor::VisitNode(v8::internal::compiler::Node*)
      1    0.1%    0.1%  t v8::internal::compiler::LoopFinderImpl::IsBackedge(v8::internal::compiler::Node*, int)
      1    0.1%    0.1%  t v8::internal::Worklist<v8::internal::HeapObject*, 64>::Push(int, v8::internal::HeapObject*)
      1    0.1%    0.1%  t v8::internal::String::Flatten(v8::internal::Handle<v8::internal::String>, v8::internal::PretenureFlag)
      1    0.1%    0.1%  t v8::internal::StatsCounter::Increment()
      1    0.1%    0.1%  t v8::internal::PrototypeIterator::AdvanceIgnoringProxies()
      1    0.1%    0.1%  t v8::internal::ParserBase<v8::internal::Parser>::ParseLeftHandSideExpression(bool*)
      1    0.1%    0.1%  t v8::internal::Handle<v8::internal::String> v8::internal::JsonParser<true>::ScanJsonString<true>()
      1    0.1%    0.1%  t v8::internal::ExpressionClassifier<v8::internal::ParserTypes<v8::internal::Parser> >::RecordBindingPatternError(v8::internal::Scanner::Location const&, v8::internal::MessageTemplate::Template, char const*)
      1    0.1%    0.1%  t v8::internal::Double::NormalizedBoundaries(v8::internal::DiyFp*, v8::internal::DiyFp*) const
      1    0.1%    0.1%  t v8::internal::ConsString* v8::internal::String::VisitFlat<v8::internal::IteratingStringHasher>(v8::internal::IteratingStringHasher*, v8::internal::String*, int)
      1    0.1%    0.1%  t v8::internal::Builtin_Impl_DatePrototypeToISOString(v8::internal::BuiltinArguments, v8::internal::Isolate*)
      1    0.1%    0.1%  t v8::internal::Builtin_Impl_DateConstructor_ConstructStub(v8::internal::BuiltinArguments, v8::internal::Isolate*)
      1    0.1%    0.1%  t v8::internal::(anonymous namespace)::CopyObjectToObjectElements(v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, v8::internal::FixedArrayBase*, v8::internal::ElementsKind, unsigned int, int)
      1    0.1%    0.1%  t std::__1::vector<v8::internal::SourcePosition, v8::internal::ZoneAllocator<v8::internal::SourcePosition> >::__append(unsigned long, v8::internal::SourcePosition const&)
      1    0.1%    0.1%  t std::__1::__hash_table<std::__1::__hash_value_type<v8_inspector::V8DebuggerAgentImpl*, int>, std::__1::__unordered_map_hasher<v8_inspector::V8DebuggerAgentImpl*, std::__1::__hash_value_type<v8_inspector::V8DebuggerAgentImpl*, int>, std::__1::hash<v8_inspector::V8DebuggerAgentImpl*>, true>, std::__1::__unordered_map_equal<v8_inspector::V8DebuggerAgentImpl*, std::__1::__hash_value_type<v8_inspector::V8DebuggerAgentImpl*, int>, std::__1::equal_to<v8_inspector::V8DebuggerAgentImpl*>, true>, std::__1::allocator<std::__1::__hash_value_type<v8_inspector::V8DebuggerAgentImpl*, int> > >::~__hash_table()
      1    0.1%    0.1%  t node::i18n::(anonymous namespace)::GetVersion(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.1%  t node::Open(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.1%  t node::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.1%  t node::InternalModuleReadFile(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.1%  t node::(anonymous namespace)::RunMicrotasks(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.1%  t node::(anonymous namespace)::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.1%  t _uv__fs_work
      1    0.1%    0.1%  t _update_cache_for_file_streams
      1    0.1%    0.1%  t _mvm_allocate_pages
