v8-version,6,1,534,50,0
code-creation,Builtin,5,4800,0x250637451380,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,4805,0x250637451420,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,4811,0x2506374514c0,134,"ObjectIs"
code-creation,Builtin,5,4816,0x250637451560,134,"ObjectPreventExtensions"
code-creation,Builtin,5,4822,0x250637451600,134,"ObjectSeal"
code-creation,Builtin,5,4827,0x2506374516a0,972,"ObjectCreate"
code-creation,Builtin,5,4833,0x250637451a80,134,"ObjectDefineProperties"
code-creation,Builtin,5,4839,0x250637451b20,134,"ObjectDefineProperty"
code-creation,Builtin,5,4856,0x250637451bc0,134,"ObjectFreeze"
code-creation,Builtin,5,4862,0x250637451c60,134,"ObjectGetPrototypeOf"
code-creation,Builtin,5,4868,0x250637451d00,134,"ObjectSetPrototypeOf"
code-creation,Builtin,5,4873,0x250637451da0,134,"ObjectIsExtensible"
code-creation,Builtin,5,4879,0x250637451e40,134,"ObjectIsFrozen"
code-creation,Builtin,5,4884,0x250637451ee0,134,"ObjectIsSealed"
code-creation,Builtin,5,4890,0x250637451f80,640,"ObjectKeys"
code-creation,Builtin,5,4895,0x250637452200,134,"ObjectEntries"
code-creation,Builtin,5,4901,0x2506374522a0,134,"ObjectValues"
code-creation,Builtin,5,4907,0x250637452340,134,"ObjectDefineGetter"
code-creation,Builtin,5,4912,0x2506374523e0,134,"ObjectDefineSetter"
code-creation,Builtin,5,4918,0x250637452480,2155,"ObjectHasOwnProperty"
code-creation,Builtin,5,4923,0x250637452d00,134,"ObjectLookupGetter"
code-creation,Builtin,5,4929,0x250637452da0,134,"ObjectLookupSetter"
code-creation,Builtin,5,4934,0x250637452e40,319,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,4940,0x250637452f80,134,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,4945,0x250637453020,880,"ObjectProtoToString"
code-creation,Builtin,5,4951,0x2506374533a0,139,"ObjectPrototypeValueOf"
code-creation,Builtin,5,4956,0x250637453440,134,"ObjectPrototypeGetProto"
code-creation,Builtin,5,4962,0x2506374534e0,134,"ObjectPrototypeSetProto"
code-creation,Builtin,5,4967,0x250637453580,134,"FunctionConstructor"
code-creation,Builtin,5,4973,0x250637453620,160,"FunctionPrototypeApply"
code-creation,Builtin,5,4979,0x2506374536c0,1392,"CallWithArrayLike"
code-creation,Builtin,5,4984,0x250637453c40,177,"CallVarargs"
code-creation,Builtin,5,4990,0x250637453d00,964,"FastFunctionPrototypeBind"
code-creation,Builtin,5,4995,0x2506374540e0,134,"FunctionPrototypeBind"
code-creation,Builtin,5,5001,0x250637454180,143,"FunctionPrototypeCall"
code-creation,Builtin,5,5006,0x250637454220,134,"FunctionPrototypeToString"
code-creation,Builtin,5,5012,0x2506374542c0,355,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,5017,0x250637454440,143,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,5023,0x2506374544e0,1160,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,5028,0x250637454980,1136,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,5034,0x250637454e00,251,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,5039,0x250637454f00,259,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,5045,0x250637455020,116,"ArrayCode"
code-creation,Builtin,5,5050,0x2506374550a0,203,"ArrayIsArray"
code-creation,Builtin,5,5056,0x250637455180,134,"ArrayConcat"
code-creation,Builtin,5,5061,0x250637455220,763,"FastArrayPop"
code-creation,Builtin,5,5067,0x250637455520,134,"ArrayPop"
code-creation,Builtin,5,5072,0x2506374555c0,2660,"FastArrayPush"
code-creation,Builtin,5,5078,0x250637456040,134,"ArrayPush"
code-creation,Builtin,5,5083,0x2506374560e0,1176,"FastArrayShift"
code-creation,Builtin,5,5089,0x250637456580,134,"ArrayShift"
code-creation,Builtin,5,5094,0x250637456620,134,"ArrayUnshift"
code-creation,Builtin,5,5100,0x2506374566c0,134,"ArraySlice"
code-creation,Builtin,5,5105,0x250637456760,134,"ArraySplice"
code-creation,Builtin,5,5111,0x250637456800,1556,"ArrayIncludes"
code-creation,Builtin,5,5117,0x250637456e20,1292,"ArrayIndexOf"
code-creation,Builtin,5,5122,0x250637457340,502,"ArrayPrototypeKeys"
code-creation,Builtin,5,5128,0x250637457540,646,"ArrayPrototypeEntries"
code-creation,Builtin,5,5133,0x2506374577e0,646,"ArrayPrototypeValues"
code-creation,Builtin,5,5139,0x250637457a80,1685,"ArrayForEach"
code-creation,Builtin,5,5144,0x250637458120,666,"ToLength"
code-creation,Builtin,5,5150,0x2506374583c0,365,"NonNumberToNumber"
code-creation,Builtin,5,5155,0x250637458540,298,"NonPrimitiveToPrimitive_Number"
code-creation,Builtin,5,5161,0x250637458680,2832,"ArrayForEachLoopContinuation"
code-creation,Builtin,5,5167,0x2506374591a0,6170,"ArrayFilter"
code-creation,Builtin,5,5172,0x25063745a9c0,4860,"ArrayFilterLoopContinuation"
code-creation,Builtin,5,5178,0x25063745bcc0,168,"Construct"
code-creation,Builtin,5,5194,0x25063745bd80,114,"ConstructFunction"
code-creation,Builtin,5,5200,0x25063745be00,249,"ConstructBoundFunction"
code-creation,Builtin,5,5206,0x25063745bf00,121,"ConstructProxy"
code-creation,Builtin,5,5211,0x25063745bf80,2972,"ArrayMap"
code-creation,Builtin,5,5217,0x25063745cb20,2876,"ArrayMapLoopContinuation"
code-creation,Builtin,5,5222,0x25063745d660,1949,"ArrayEvery"
code-creation,Builtin,5,5228,0x25063745de00,2928,"ArrayEveryLoopContinuation"
code-creation,Builtin,5,5235,0x25063745e980,1949,"ArraySome"
