v8-version,6,1,534,50,0
code-creation,Stub,3,4295,0x267ee72a3e20,2275,"RecordWriteStub"
code-creation,Stub,3,4301,0x267ee72a4720,2296,"RecordWriteStub"
code-creation,Stub,3,4306,0x267ee72a5020,2254,"RecordWriteStub"
code-creation,Stub,3,4312,0x267ee72a5900,2254,"RecordWriteStub"
code-creation,Stub,3,4318,0x267ee72a61e0,591,"StringAddStub"
code-creation,Stub,3,4324,0x267ee72a6440,1872,"StringAddStub"
code-creation,Builtin,5,4330,0x267ee72a6ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,4336,0x267ee72a6ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,4342,0x267ee72a7440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,4347,0x267ee72a7540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,4353,0x267ee72a76c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,4372,0x267ee72a7800,2238,"RecordWriteStub"
code-creation,Stub,3,4378,0x267ee72a80c0,2300,"RecordWriteStub"
code-creation,Stub,3,4404,0x267ee72a89c0,2245,"RecordWriteStub"
code-creation,Stub,3,4437,0x267ee72a92a0,2291,"RecordWriteStub"
code-creation,Stub,3,4443,0x267ee72a9ba0,2270,"RecordWriteStub"
code-creation,Stub,3,4449,0x267ee72aa480,2254,"RecordWriteStub"
code-creation,Stub,3,4455,0x267ee72aad60,2285,"RecordWriteStub"
code-creation,Handler,4,4479,0x267ee72ab660,308,"An IC handler from the snapshot"
code-creation,Handler,4,4485,0x267ee72ab7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,4490,0x267ee72abaa0,2296,"RecordWriteStub"
code-creation,Stub,3,4496,0x267ee72ac3a0,2238,"RecordWriteStub"
code-creation,Stub,3,4502,0x267ee72acc60,2254,"RecordWriteStub"
code-creation,Stub,3,4520,0x267ee72ad540,1391,"RecordWriteStub"
code-creation,Stub,3,4526,0x267ee72adac0,2242,"RecordWriteStub"
code-creation,Stub,3,4531,0x267ee72ae3a0,2291,"RecordWriteStub"
code-creation,Stub,3,4537,0x267ee72aeca0,183,"DoubleToIStub"
code-creation,Stub,3,4542,0x267ee72aed60,2266,"RecordWriteStub"
code-creation,Stub,3,4548,0x267ee72af640,2308,"RecordWriteStub"
code-creation,Handler,4,4553,0x267ee72aff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,4559,0x267ee72b0280,256,"An IC handler from the snapshot"
code-creation,Stub,3,4564,0x267ee72b0380,2238,"RecordWriteStub"
code-creation,Stub,3,4570,0x267ee72b0c40,2266,"RecordWriteStub"
code-creation,Handler,4,4575,0x267ee72b1520,296,"An IC handler from the snapshot"
code-creation,Stub,3,4581,0x267ee72b1660,1412,"RecordWriteStub"
code-creation,Stub,3,4586,0x267ee72b1c00,2269,"RecordWriteStub"
code-creation,Stub,3,4592,0x267ee72b24e0,2250,"RecordWriteStub"
code-creation,Stub,3,4597,0x267ee72b2dc0,3405,"SubStringStub"
code-creation,Stub,3,4603,0x267ee72b3b20,183,"DoubleToIStub"
code-creation,Stub,3,4608,0x267ee72b3be0,387,"CreateWeakCellStub"
code-creation,Handler,4,4614,0x267ee72b3d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,4619,0x267ee72b4040,1416,"RecordWriteStub"
code-creation,Stub,3,4625,0x267ee72b45e0,2257,"RecordWriteStub"
code-creation,Stub,3,4631,0x267ee72b4ec0,365,"CEntryStub"
code-creation,Stub,3,4636,0x267ee72b5040,2238,"RecordWriteStub"
code-creation,Stub,3,4642,0x267ee72b5900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4647,0x267ee72b5ae0,2272,"RecordWriteStub"
code-creation,Stub,3,4653,0x267ee72b63c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4658,0x267ee72b6500,357,"MathPowStub"
code-creation,Handler,4,4664,0x267ee72b6680,744,"An IC handler from the snapshot"
code-creation,Stub,3,4669,0x267ee72b6980,427,"CallApiGetterStub"
code-creation,Stub,3,4675,0x267ee72b6b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4680,0x267ee72b6c80,2276,"RecordWriteStub"
code-creation,Stub,3,4686,0x267ee72b7580,2284,"RecordWriteStub"
code-creation,Stub,3,4691,0x267ee72b7e80,2254,"RecordWriteStub"
code-creation,Stub,3,4697,0x267ee72b8760,615,"StringAddStub"
code-creation,Stub,3,4702,0x267ee72b89e0,375,"NumberToStringStub"
code-creation,Stub,3,4708,0x267ee72b8b60,980,"RecordWriteStub"
code-creation,Stub,3,4713,0x267ee72b8f40,2263,"RecordWriteStub"
code-creation,Handler,4,4719,0x267ee72b9820,296,"An IC handler from the snapshot"
code-creation,Stub,3,4724,0x267ee72b9960,2307,"RecordWriteStub"
code-creation,Stub,3,4730,0x267ee72ba280,2254,"RecordWriteStub"
code-creation,Stub,3,4735,0x267ee72bab60,185,"DoubleToIStub"
code-creation,Stub,3,4740,0x267ee72bac20,2283,"RecordWriteStub"
code-creation,Stub,3,4746,0x267ee72bb520,978,"RecordWriteStub"
code-creation,Stub,3,4751,0x267ee72bb900,2257,"RecordWriteStub"
code-creation,Stub,3,4757,0x267ee72bc1e0,2292,"RecordWriteStub"
code-creation,Stub,3,4762,0x267ee72bcae0,2241,"RecordWriteStub"
code-creation,Stub,3,4767,0x267ee72bd3c0,2279,"RecordWriteStub"
code-creation,Stub,3,4773,0x267ee72bdcc0,972,"RecordWriteStub"
code-creation,Stub,3,4778,0x267ee72be0a0,2254,"RecordWriteStub"
code-creation,Stub,3,4784,0x267ee72be980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,4790,0x267ee72beb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,4795,0x267ee72bee00,974,"RecordWriteStub"
code-creation,Stub,3,4812,0x267ee72bf1e0,2254,"RecordWriteStub"
code-creation,Stub,3,4818,0x267ee72bfac0,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4824,0x267ee72bfc00,2242,"RecordWriteStub"
code-creation,Stub,3,4829,0x267ee72c04e0,2241,"RecordWriteStub"
code-creation,Stub,3,4835,0x267ee72c0dc0,980,"RecordWriteStub"
code-creation,Stub,3,4840,0x267ee72c11a0,206,"InternalArrayConstructorStub"
code-creation,Stub,3,4846,0x267ee72c1280,2266,"RecordWriteStub"
code-creation,Stub,3,4851,0x267ee72c1b60,183,"DoubleToIStub"
code-creation,Stub,3,4857,0x267ee72c1c20,2241,"RecordWriteStub"
code-creation,Stub,3,4862,0x267ee72c2500,986,"RecordWriteStub"
code-creation,Stub,3,4868,0x267ee72c28e0,2242,"RecordWriteStub"
code-creation,Stub,3,4873,0x267ee72c31c0,2269,"RecordWriteStub"
code-creation,Stub,3,4878,0x267ee72c3aa0,2270,"RecordWriteStub"
code-creation,Stub,3,4884,0x267ee72c4380,2270,"RecordWriteStub"
code-creation,Stub,3,4889,0x267ee72c4c60,2253,"RecordWriteStub"
code-creation,Stub,3,4895,0x267ee72c5540,2311,"RecordWriteStub"
code-creation,Stub,3,4900,0x267ee72c5e60,2326,"RecordWriteStub"
code-creation,Stub,3,4906,0x267ee72c6780,365,"CEntryStub"
code-creation,Stub,3,4911,0x267ee72c6900,2254,"RecordWriteStub"
code-creation,Stub,3,4917,0x267ee72c71e0,2275,"RecordWriteStub"
code-creation,Stub,3,4922,0x267ee72c7ae0,2238,"RecordWriteStub"
code-creation,Stub,3,4927,0x267ee72c83a0,2308,"RecordWriteStub"
code-creation,Stub,3,4933,0x267ee72c8cc0,2284,"RecordWriteStub"
code-creation,Stub,3,4939,0x267ee72c95c0,565,"CEntryStub"
code-creation,Stub,3,4944,0x267ee72c9800,2300,"RecordWriteStub"
code-creation,Stub,3,4950,0x267ee72ca100,2253,"RecordWriteStub"
code-creation,Stub,3,4955,0x267ee72ca9e0,2266,"RecordWriteStub"
code-creation,Builtin,5,4961,0x267ee72cb2c0,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,4966,0x267ee72cb360,124,"ReturnReceiver"
code-creation,Builtin,5,4972,0x267ee72cb3e0,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,4982,0x267ee72cb600,338,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,4987,0x267ee72cb760,335,"CreateIterResultObject"
code-creation,Builtin,5,4993,0x267ee72cb8c0,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,4998,0x267ee72cbae0,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,5004,0x267ee72cbd20,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,5011,0x267ee72cc3a0,200,"ToBoolean"
code-creation,Builtin,5,5017,0x267ee72cc480,4284,"ResolveNativePromise"
code-creation,Builtin,5,5022,0x267ee72cd540,448,"StringEqual"
code-creation,Builtin,5,5028,0x267ee72cd700,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,5033,0x267ee72cebc0,828,"RejectNativePromise"
code-creation,Builtin,5,5039,0x267ee72cef00,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,5044,0x267ee72cf7a0,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,5050,0x267ee72cfe40,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,5055,0x267ee72d0240,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,5061,0x267ee72d0440,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,5066,0x267ee72d0820,207,"AsyncGeneratorReject"
