v8-version,6,1,534,50,0
code-creation,Stub,3,4934,0x2594e21a61e0,591,"StringAddStub"
code-creation,Stub,3,4941,0x2594e21a6440,1872,"StringAddStub"
code-creation,Builtin,5,4948,0x2594e21a6ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,4955,0x2594e21a6ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,4961,0x2594e21a7440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,4968,0x2594e21a7540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,4975,0x2594e21a76c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,4982,0x2594e21a7800,2238,"RecordWriteStub"
code-creation,Stub,3,4989,0x2594e21a80c0,2300,"RecordWriteStub"
code-creation,Stub,3,4995,0x2594e21a89c0,2245,"RecordWriteStub"
code-creation,Stub,3,5016,0x2594e21a92a0,2291,"RecordWriteStub"
code-creation,Stub,3,5023,0x2594e21a9ba0,2270,"RecordWriteStub"
code-creation,Stub,3,5030,0x2594e21aa480,2254,"RecordWriteStub"
code-creation,Stub,3,5037,0x2594e21aad60,2285,"RecordWriteStub"
code-creation,Handler,4,5044,0x2594e21ab660,308,"An IC handler from the snapshot"
code-creation,Handler,4,5051,0x2594e21ab7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,5058,0x2594e21abaa0,2296,"RecordWriteStub"
code-creation,Stub,3,5064,0x2594e21ac3a0,2238,"RecordWriteStub"
code-creation,Stub,3,5071,0x2594e21acc60,2254,"RecordWriteStub"
code-creation,Stub,3,5078,0x2594e21ad540,1391,"RecordWriteStub"
code-creation,Stub,3,5085,0x2594e21adac0,2242,"RecordWriteStub"
code-creation,Stub,3,5092,0x2594e21ae3a0,2291,"RecordWriteStub"
code-creation,Stub,3,5098,0x2594e21aeca0,183,"DoubleToIStub"
code-creation,Stub,3,5105,0x2594e21aed60,2266,"RecordWriteStub"
code-creation,Stub,3,5112,0x2594e21af640,2308,"RecordWriteStub"
code-creation,Handler,4,5119,0x2594e21aff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,5126,0x2594e21b0280,256,"An IC handler from the snapshot"
code-creation,Stub,3,5133,0x2594e21b0380,2238,"RecordWriteStub"
code-creation,Stub,3,5139,0x2594e21b0c40,2266,"RecordWriteStub"
code-creation,Handler,4,5146,0x2594e21b1520,296,"An IC handler from the snapshot"
code-creation,Stub,3,5153,0x2594e21b1660,1412,"RecordWriteStub"
code-creation,Stub,3,5160,0x2594e21b1c00,2269,"RecordWriteStub"
code-creation,Stub,3,5167,0x2594e21b24e0,2250,"RecordWriteStub"
code-creation,Stub,3,5174,0x2594e21b2dc0,3405,"SubStringStub"
code-creation,Stub,3,5181,0x2594e21b3b20,183,"DoubleToIStub"
code-creation,Stub,3,5187,0x2594e21b3be0,387,"CreateWeakCellStub"
code-creation,Handler,4,5194,0x2594e21b3d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,5201,0x2594e21b4040,1416,"RecordWriteStub"
code-creation,Stub,3,5208,0x2594e21b45e0,2257,"RecordWriteStub"
code-creation,Stub,3,5215,0x2594e21b4ec0,365,"CEntryStub"
code-creation,Stub,3,5222,0x2594e21b5040,2238,"RecordWriteStub"
code-creation,Stub,3,5228,0x2594e21b5900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,5235,0x2594e21b5ae0,2272,"RecordWriteStub"
code-creation,Stub,3,5242,0x2594e21b63c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,5249,0x2594e21b6500,357,"MathPowStub"
code-creation,Handler,4,5256,0x2594e21b6680,744,"An IC handler from the snapshot"
code-creation,Stub,3,5263,0x2594e21b6980,427,"CallApiGetterStub"
code-creation,Stub,3,5270,0x2594e21b6b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,5277,0x2594e21b6c80,2276,"RecordWriteStub"
code-creation,Stub,3,5284,0x2594e21b7580,2284,"RecordWriteStub"
code-creation,Stub,3,5290,0x2594e21b7e80,2254,"RecordWriteStub"
code-creation,Stub,3,5297,0x2594e21b8760,615,"StringAddStub"
code-creation,Stub,3,5304,0x2594e21b89e0,375,"NumberToStringStub"
code-creation,Stub,3,5311,0x2594e21b8b60,980,"RecordWriteStub"
code-creation,Stub,3,5318,0x2594e21b8f40,2263,"RecordWriteStub"
code-creation,Handler,4,5325,0x2594e21b9820,296,"An IC handler from the snapshot"
code-creation,Stub,3,5331,0x2594e21b9960,2307,"RecordWriteStub"
code-creation,Stub,3,5338,0x2594e21ba280,2254,"RecordWriteStub"
code-creation,Stub,3,5345,0x2594e21bab60,185,"DoubleToIStub"
code-creation,Stub,3,5352,0x2594e21bac20,2283,"RecordWriteStub"
code-creation,Stub,3,5359,0x2594e21bb520,978,"RecordWriteStub"
code-creation,Stub,3,5366,0x2594e21bb900,2257,"RecordWriteStub"
code-creation,Stub,3,5372,0x2594e21bc1e0,2292,"RecordWriteStub"
code-creation,Stub,3,5379,0x2594e21bcae0,2241,"RecordWriteStub"
code-creation,Stub,3,5386,0x2594e21bd3c0,2279,"RecordWriteStub"
code-creation,Stub,3,5393,0x2594e21bdcc0,972,"RecordWriteStub"
code-creation,Stub,3,5399,0x2594e21be0a0,2254,"RecordWriteStub"
code-creation,Stub,3,5406,0x2594e21be980,431,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,4,5413,0x2594e21beb40,688,"An IC handler from the snapshot"
code-creation,Stub,3,5420,0x2594e21bee00,974,"RecordWriteStub"
code-creation,Stub,3,5440,0x2594e21bf1e0,2254,"RecordWriteStub"
code-creation,Stub,3,5447,0x2594e21bfac0,295,"InternalArrayNoArgumentConstructorStub"
