v8-version,6,1,534,50,0
code-creation,Handler,4,4680,0x15711562b660,308,"An IC handler from the snapshot"
code-creation,Handler,4,4686,0x15711562b7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,4691,0x15711562baa0,2296,"RecordWriteStub"
code-creation,Stub,3,4697,0x15711562c3a0,2238,"RecordWriteStub"
code-creation,Stub,3,4702,0x15711562cc60,2254,"RecordWriteStub"
code-creation,Stub,3,4708,0x15711562d540,1391,"RecordWriteStub"
code-creation,Stub,3,4715,0x15711562dac0,2242,"RecordWriteStub"
code-creation,Stub,3,4721,0x15711562e3a0,2291,"RecordWriteStub"
code-creation,Stub,3,4726,0x15711562eca0,183,"DoubleToIStub"
code-creation,Stub,3,4732,0x15711562ed60,2266,"RecordWriteStub"
code-creation,Stub,3,4738,0x15711562f640,2308,"RecordWriteStub"
code-creation,Handler,4,4743,0x15711562ff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,4749,0x157115630280,256,"An IC handler from the snapshot"
code-creation,Stub,3,4754,0x157115630380,2238,"RecordWriteStub"
code-creation,Stub,3,4760,0x157115630c40,2266,"RecordWriteStub"
code-creation,Handler,4,4765,0x157115631520,296,"An IC handler from the snapshot"
code-creation,Stub,3,4771,0x157115631660,1412,"RecordWriteStub"
code-creation,Stub,3,4776,0x157115631c00,2269,"RecordWriteStub"
code-creation,Stub,3,4782,0x1571156324e0,2250,"RecordWriteStub"
code-creation,Stub,3,4787,0x157115632dc0,3405,"SubStringStub"
code-creation,Stub,3,4792,0x157115633b20,183,"DoubleToIStub"
code-creation,Stub,3,4798,0x157115633be0,387,"CreateWeakCellStub"
code-creation,Handler,4,4803,0x157115633d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,4809,0x157115634040,1416,"RecordWriteStub"
code-creation,Stub,3,4814,0x1571156345e0,2257,"RecordWriteStub"
code-creation,Stub,3,4820,0x157115634ec0,365,"CEntryStub"
code-creation,Stub,3,4825,0x157115635040,2238,"RecordWriteStub"
code-creation,Stub,3,4830,0x157115635900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,4836,0x157115635ae0,2272,"RecordWriteStub"
code-creation,Stub,3,4842,0x1571156363c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4847,0x157115636500,357,"MathPowStub"
code-creation,Handler,4,4852,0x157115636680,744,"An IC handler from the snapshot"
code-creation,Stub,3,4858,0x157115636980,427,"CallApiGetterStub"
code-creation,Stub,3,4863,0x157115636b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,4869,0x157115636c80,2276,"RecordWriteStub"
code-creation,Stub,3,4875,0x157115637580,2284,"RecordWriteStub"
code-creation,Stub,3,4881,0x157115637e80,2254,"RecordWriteStub"
code-creation,Stub,3,4886,0x157115638760,615,"StringAddStub"
code-creation,Stub,3,4892,0x1571156389e0,375,"NumberToStringStub"
code-creation,Stub,3,4897,0x157115638b60,980,"RecordWriteStub"
code-creation,Stub,3,4902,0x157115638f40,2263,"RecordWriteStub"
code-creation,Handler,4,4908,0x157115639820,296,"An IC handler from the snapshot"
